,S Uri,Song,A Uri,Artist,Genre,Song Pop,Artist Pop
1765,0xgcD5kQFrPbQQrzVYqw6h,End Of The Road,6O74knDqdv3XaWtkII7Xjp,Boyz II Men,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']",0,64
1766,3LPJj7UTc81Ay30i53RODg,Stuck On You,5rAaG3OuMuWvPWYji9TDgh,3T,"['boy band', 'contemporary r&b']",0,40
1767,3fOODM4MYSBmCZoSOSyOjP,What's Up? - Edit,0Je74SitssvJg1w4Ra2EK7,4 Non Blondes,"['new wave pop', 'pop rock']",0,62
1768,6nRV46vbiHE5tTnS4VmKk7,Breakfast At Tiffany's,5N5RfI8FFXk4WQ8kkjE407,Deep Blue Something,['pop rock'],0,54
1769,2dXSZcJHeRE7PNFl7M6I9m,Senza Una Donna - English Version,2KftmGt9sk1yLjsAoloC3M,Zucchero,"['classic italian pop', 'italian adult pop', 'italian pop rock']",0,60
1770,0IWtEFQBwRHaMXZQtGEVcM,Wonderful Life,0eu0y7eJ5NMo07NEQEIq1V,Black,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",69,52
1771,1UT4wMT81kY0ymPy3C7SDm,"Up Where We Belong - From ""An Officer And A Gentleman"" Soundtrack",3pFCERyEiP5xeN2EsPXhjI,Joe Cocker,"['blues rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",0,63
1772,5q4I6I0ytvTKuYe1Fquxnx,Family Affair,1XkoF8ryArs86LZvFOkbyr,Mary J. Blige,"['dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",0,70
1773,0AH1QiFyup76RVwb94Yapr,When You Say Nothing At All,6X9aYHnQ75YI8o08aoa0iS,Boyzone,"['boy band', 'dance pop', 'europop', 'soft rock']",0,60
1774,61lqNlVRnWYiR9C7BDJw2l,You Give Love A Bad Name,58lV9VcRSjABbAbfWS6skp,Bon Jovi,"['glam metal', 'rock']",9,77
1775,5JyIcktAtMpANKqCtEaX6y,Somebody Else's Lover,10Apoi1zownt1wjwVy9FOZ,Total Touch,"['dutch pop', 'dutch rock']",43,32
1776,7dp45uA0Ws4TadWaMwdIRw,Se bastasse una canzone,61J0BktHv7PuP3tjTPYXSX,Eros Ramazzotti,"['italian adult pop', 'mexican pop']",62,68
1777,31HOUWxaaqIedY0fULlGa5,What A Fool Believes,39T6qqI0jDtSWWioX8eGJz,The Doobie Brothers,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0,66
1778,1cOj24fUMnBSXhtp7waHVW,"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",2JSjCHK79gdaiPWdKiNUNp,Dionne Warwick,"['adult standards', 'brill building pop', 'disco', 'lounge', 'mellow gold', 'quiet storm', 'soft rock', 'soul']",56,60
1779,4tCWWnk3BXinf7FllmSyHW,Everybody Hurts,4KWTAlx2RvbpseOGMEmROg,R.E.M.,"['alternative rock', 'athens indie', 'permanent wave', 'pop rock', 'rock']",0,71
1780,6HjHNeCMvbs2UmxIY6NHao,Saving All My Love for You - Remastered,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,"['dance pop', 'pop', 'urban contemporary']",0,75
1781,5fgkjhICZnqFctrV0AyuQD,Walking in Memphis,2C8mKwk3z5DtqLcSwUdYJ9,Marc Cohn,"['mellow gold', 'pop rock']",72,54
1782,5bh8l1991KxZHgsYoV6oEx,Always There - David Morales Remix,5moJNCJeiNwuQAhDLJXULs,Incognito,"['brit funk', 'modern funk']",0,48
1783,4vNH1TCUDt1RldxE57XjzB,Everybody Wants To Rule The World,4bthk9UfsYUYdcFyqxmSUU,Tears For Fears,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'sophisti-pop', 'synthpop']",0,72
1784,5KYoPa5akZxiCn38xelbqI,Manic Monday,51l0uqRxGaczYr4271pVIC,The Bangles,"['album rock', 'disco', 'jangle pop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'paisley underground', 'pop rock', 'rock', 'soft rock', 'synthpop']",52,61
1785,1eQuRtkMEPhf2DGzpBVTE6,Ode To My Family,7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,"['irish rock', 'pop rock']",0,70
1786,0N4amuUJPQapfe3lOvtMUG,She's Always A Woman,6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,"['classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",0,75
1787,2BfQU2QWF3gFasnjKfpVFU,"Working My Way Back to You / Forgive Me, Girl",5fbhwqYYh4YwUoEs582mq5,The Spinners,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']",24,59
1788,77NNZQSqzLNqh2A9JhLRkg,Don't Stop Believin',0rvjqX7ttXeg3mTy8Xscbt,Journey,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",73,75
1789,6yJxCltgtmGxIgKOS6ndnu,Greatest Love of All,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,"['dance pop', 'pop', 'urban contemporary']",68,75
1790,0k6lqpK6qdgOjmUvMwyypf,All At Once - Remastered: 2000,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston,"['dance pop', 'pop', 'urban contemporary']",0,75
1791,0bbMuhrvrVprxK6hdE2RjR,Nobody Wants to Be Lonely - Ricky Martin with Christina Aguilera,7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'puerto rican pop']",0,73
1792,4rr67zXmEYf9ykLigeEsbv,Don't Dream It's Over,7ohlPA8dRBtCf92zaZCaaB,Crowded House,"['australian rock', 'mellow gold', 'permanent wave', 'pop rock', 'rock']",0,63
1793,3V0PeMg2mhbYRtk9bioAwF,I Swear,1B8ySGDAiXTCvnJNH4HSCG,All-4-One,"['boy band', 'contemporary r&b', 'dance pop', 'r&b', 'urban contemporary']",54,55
1794,73ckFKYD8ydiDRnazoGGDE,She Goes Nana,4ubInRZWkxXv1KNTPLHB4q,The Radios,"['belgian rock', 'classic belgian pop']",39,32
1795,6mowJOVCvHAfAR5gqMBd2Z,Maria Maria - Radio Mix,6GI52t8N5F02MxU0g5U69P,Santana,"['blues rock', 'classic rock', 'mexican classic rock']",0,70
1796,4ue5ET9msGNJSO6sSbrCVE,I Want To Break Free - Remastered 2011,1dfeR4HaWDbWqFHLkxsg1d,Queen,"['classic rock', 'glam rock', 'rock']",0,83
1797,32RxZnEk5KyWUTZR4azxbD,Can You Feel the Love Tonight,3PhoLpVuITZKcymswpck5b,Elton John,"['glam rock', 'mellow gold', 'piano rock']",60,82
1798,0LfiPrJKVVpnkXUcLLMzOo,A Horse with No Name - 2006 Remaster,35U9lQaRWSQISxQAB94Meo,America,"['album rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",51,64
1799,2M55R2A9IAhLdsCGFj8r8k,I'm Every Woman,6mQfAAqZGBzIfrmlZCeaYT,Chaka Khan,"['disco', 'funk', 'neo soul', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",56,62
1800,4UiuRWY3NqFCymtGYD5Qmt,Fragile,0Ty63ceoRnnJKVEYP0VQpk,Sting,"['permanent wave', 'soft rock', 'sophisti-pop']",42,70
1801,16fzReMJmcLlBccnZCTZNS,Every Breath You Take,5NGO30tJxFlKixkPSgXcFE,The Police,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']",0,74
1802,3CCCpjbs3uW018OkSguRFk,Careless Whisper,19ra5tSw0tWufvUp8GotLo,George Michael,[],0,71
1803,28XDE6yXI6Bp4U3nLSGqzp,Smooth Operator - Remastered,47zz7sob9NUcODy0BTDvKx,Sade,"['british soul', 'neo soul', 'sophisti-pop']",63,67
1804,39k3bRRvpza7QpQDPjkQbO,Weather With You,7ohlPA8dRBtCf92zaZCaaB,Crowded House,"['australian rock', 'mellow gold', 'permanent wave', 'pop rock', 'rock']",27,63
1805,7utRJ4BeYx85khzP3lKoBX,Tears in Heaven,6PAt558ZEZl0DmdXlnjMgD,Eric Clapton,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'mellow gold', 'rock', 'soft rock']",63,70
1806,3KEx71XWs0qpcqChWzhRyn,We Are The World,0Y8KmFkKOgJybpVobn1onU,Luciano Pavarotti,"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']",0,61
1807,76D5nfZbYzZYfUZKGy73jy,7 Seconds (feat. Neneh Cherry),77zlytAFjPFjUKda8TNIDY,Youssou N'Dour,"['afropop', 'mande pop', 'mbalax', 'world']",59,51
1808,4l4mSq8IKgCMz0q9KFZ7tK,Something About The Way You Look Tonight,3PhoLpVuITZKcymswpck5b,Elton John,"['glam rock', 'mellow gold', 'piano rock']",54,82
1809,4SXU3lUZ1eb4JWWbkQw43Y,Don't Stop,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0,78
1810,2HAVFycrhtbmLxyyxpm6JI,Killing Me Softly With His Song,2WKdxPFRD7IqZvlIAvhMgY,Fugees,"['east coast hip hop', 'gangster rap', 'hip hop', 'new jersey rap', 'rap']",56,64
1811,1JLn8RhQzHz3qDqsChcmBl,I Want to Know What Love Is - 1999 Remaster,6IRouO5mvvfcyxtPDKMYFN,Foreigner,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",79,68
1812,1zEJIpCJBusA612MIbCoqu,"When the Going Gets Tough, The Tough Get Going",5IDs1CK15HegSAhGEbSYXo,Billy Ocean,"['disco', 'mellow gold', 'new romantic', 'new wave pop', 'soft rock', 'yacht rock']",0,61
1813,7kTvXtMERxvwCGcWv68ssH,Sweat (A La La La La Long),5os0Ltvz8Q8BvXOPOd1frx,Inner Circle,"['reggae', 'reggae fusion', 'roots reggae']",3,60
1814,1OE5bn5HUmCqTLNpo13ya3,Reggae Night,3rJ3m1tM6vUgiWLjfV8sRf,Jimmy Cliff,"['dub', 'reggae', 'roots reggae']",54,60
1815,7lOjYEj3Ga1TNwv8f49U0g,"Out Of Reach - From ""Bridget Jones's Diary""",7rftfGIYEeZ79sLb58ZBDi,Gabrielle,"['australian pop', 'british soul', 'dance pop', 'europop', 'neo soul', 'new wave pop', 'pop rock']",0,59
1816,2NL4BBBSgypHnxUKmQdYcT,(Don't Fear) The Reaper,00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'rock']",0,61
1817,7INi4pMPG4IE0Smx5y4KVf,Easy Lover,6ZNeppgfBLPUyugks9Yn1u,Philip Bailey,['yacht rock'],69,55
1818,54b8qPFqYqIndfdxiLApea,Alone,34jw2BbxjoYalTp8cJFCPv,Heart,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'soft rock']",74,65
1819,3iM9wFGlyR28IBZrXYZK9j,Cold as Ice - 2008 Remaster,6IRouO5mvvfcyxtPDKMYFN,Foreigner,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",53,68
1820,4nuPrKithHbRJXuA9spwu4,"December, 1963 (Oh, What a Night)",6mcrZQmgzFGRWf7C0SObou,Frankie Valli & The Four Seasons,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'northern soul', 'rock-and-roll']",0,62
1821,3FhNJaCNypOAnZccdYGAWN,Supergirl,4VH2QabEORUUhN1F1cYQ6N,Reamonn,"['german pop', 'german pop rock']",59,46
1822,0yKvrZcQUqNrlTmdsnpmOl,Rosanna,0PFtn5NtBbbUNbU9EAmIWF,TOTO,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0,71
1823,2vdId18EePzFhwfp4ryqFq,Shape Of My Heart,0Ty63ceoRnnJKVEYP0VQpk,Sting,"['permanent wave', 'soft rock', 'sophisti-pop']",0,70
1824,2NwXOuYLEbyhlQzDtoANul,Sitting Down Here,5TrH0BhpRgs2gkOb992bGC,Lene Marlin,['norwegian pop'],61,45
1825,26g8bCaVhcv0KkBi5SlEg7,Don't Leave Me This Way (with Sarah Jane Morris),17U2ImH5IyYMvjkCfPhMHT,The Communards,"['hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']",0,52
1826,22WJbbti5hZkY7J8jwVX9o,As,19ra5tSw0tWufvUp8GotLo,George Michael,[],52,71
